route_id,route_short_name,route_long_name,trip_headsign
6631,029,Elliott/29th Avenue Station,"['29 29th Ave Station', '29 Elliott']"
6633,041,Joyce Station/Crown,"['41 41st Ave/To Joyce Station', '41 41st Ave/To Granville St', '41 41st Ave/To Crown', '41 41st Ave/To Oak St']"
6635,044,UBC/Downtown,"['44 Dundarave Express', '44 UBC', '44 Downtown']"
6636,049,Metrotown Station/Dunbar Loop/UBC,"['49 Metrotown Station', '49 UBC', '49 To Granville']"
6637,050,Waterfront Station/False Creek South,"['50 Waterfront Station', '50 South False Creek via Granville Island']"
6638,084,UBC/VCC-Clark Station,"['84 UBC', '84 VCC-Clark Station']"
6641,099,Commercial-Broadway/UBC (B-Line),"['99 UBC B-Line', '99 To Boundary B-Line', '99 Commercial-Broadway Station', '99 To Alma  B-Line']"
6642,100,22nd St Station/Marpole Loop,"['100 22nd St Station via Trapp', '100 22nd St Station', '100 Marpole', '100 Marpole via Trapp']"
6643,101,Lougheed Station/22nd St Station,"['101 22nd St Station', '101 Lougheed Station', 'Special']"
6644,104,22nd St Station/Annacis Island,"['104 22nd St Station', '104 Annacis Island', '104 Queensborough']"
6645,106,New Westminster Station/Edmonds Station,"['106 New West Station', '106 Edmonds Station']"
6646,110,Lougheed Station/Metrotown Station,"['110 Lougheed Station', '110 Metrotown Station', '110 Sperling Station', '110 Special']"
6647,112,Edmonds Station/New West Station,"['112 New West Station', '112 Edmonds Station']"
6648,116,Edmonds Station/Metrotown Station,"['116 Metrotown Station', '116 Edmonds Station']"
6649,123,New West Station/Brentwood Station,"['123 New West Station', '123 Brentwood Station', '123 To Sixth Ave']"
6650,129,Patterson Station/Holdom Station,"['129 Holdom Station', '129 Patterson Station']"
6651,130,Metrotown/Pender/Kootenay,"['130 Willingdon/To Metrotown Station', '130 Kootenay Loop', '130 Willingdon To Phibbs Exchange', '130 Willingdon To Pender']"
6652,134,Lake City Station/Brentwood Station,"['134 Lake City Station', '134 Sperling Station', '134 Brentwood Station', '134 Special']"
6654,136,Lougheed Station/Brentwood Station,"['136 Lougheed Station', '136 Brentwood Station', 'Special']"
6656,143,Burquitlam Station/SFU,"['143 SFU', '143 Burquitlam Station']"
6657,144,SFU/Metrotown Station,"['144 Metrotown Station', '144 SFU']"
