stop_id,stop_code,stop_name,stop_lat,stop_lon
10595,50138.0,Eastbound W 41 Ave @ Columbia St,49.23327,-123.111462
10597,52853.0,Southbound Eastlake Dr @ Centaurus Dr,49.256481,-122.910285
10598,60521.0,Northbound 180 St @ 55 Ave,49.102886,-122.723724
1060,51051.0,Southbound Renfrew St @ E 20 Ave,49.252041,-123.044456
10600,59995.0,Northbound Walker Ave @ Imperial Ave,49.224605,-122.957702
10603,59676.0,Northbound Patterson Ave @ Victory St,49.218594,-123.01236
10604,59604.0,Southbound Riverside Dr @ Riverside Close,49.26251,-122.742419
10605,59854.0,Southbound Glover Rd @ Rawlison Cres,49.154497,-122.591044
10606,59853.0,Northbound Glover Rd @ Rawlison Cres,49.154475,-122.590859
10607,59846.0,Eastbound Derwent Way @ Humber Place,49.165246,-122.945487
10608,59841.0,Northbound 240 St @ 109 Ave,49.200431,-122.556568
1061,51052.0,Southbound Boyd Diversion @ E 22 Ave,49.250326,-123.044011
10611,59837.0,Northbound Main St @ E 22 Ave,49.251452,-123.100866
10612,56567.0,Southbound No. 3 Rd @ Alderbridge Way,49.176886,-123.136777
10613,60663.0,Eastbound 56 Ave @ Hwy 10,49.104403,-122.687502
10614,60661.0,Westbound 60 Ave @ 179 St,49.111524,-122.727349
10615,60702.0,Southbound Nestor St @ Tory Ave,49.289064,-122.778534
10617,59843.0,Northbound Main St @ 54 Ave,49.22134,-123.101649
10619,58613.0,Westbound E Broadway @ Fraser St,49.262593,-123.09009
1062,51053.0,Southbound Nootka St @ E 25 Ave,49.247621,-123.041717
10620,58614.0,Eastbound E Broadway  @ Fraser St,49.26236,-123.088379
10621,58625.0,Northbound Lonsdale Ave @ E 19 St,49.326627,-123.072103
10628,60754.0,Northbound 188 St @ 64 Ave,49.119726,-122.701633
