route_id,trip_id,trip_headsign,service_id
6612,13997949,2 Macdonald/To 16th Avenue,2
6612,13997950,2 Macdonald/To 16th Avenue,2
6612,13997951,2 Macdonald/To Dunbar Loop,2
6612,13997952,2 Macdonald/To Dunbar Loop,2
6612,13997959,2 Macdonald/To Burrard Station,3
6612,13997960,2 Macdonald/To Burrard Station,3
6612,13997961,2 Macdonald/To Burrard Station,3
6612,13997962,2 Macdonald/To Burrard Station,3
6612,13997963,2 Macdonald/To Burrard Station,3
6612,13997964,2 Macdonald/To Burrard Station,3
6612,13997965,2 Macdonald/To Burrard Station,3
6612,13997966,2 Macdonald/To Burrard Station,3
6612,13997967,2 Macdonald/To Burrard Station,3
6612,13997968,2 Macdonald/To Burrard Station,3
6612,13997969,2 Macdonald/To Burrard Station,3
6612,13997970,2 Macdonald/To Burrard Station,3
6612,13997971,2 Macdonald/To Burrard Station,3
6612,13997972,2 Macdonald/To Burrard Station,3
6612,13997973,2 Macdonald/To Burrard Station,3
6612,13997974,2 Macdonald/To Burrard Station,3
6612,13997975,2 Macdonald/To Burrard Station,3
6612,13997976,2 Macdonald/To Burrard Station,3
6612,13997977,2 Macdonald/To Burrard Station,3
6612,13997978,2 Macdonald/To Burrard Station,3
6612,13997979,2 Macdonald/To Burrard Station,3
6612,13997980,2 Macdonald/To Burrard Station,3
6612,13997981,2 Macdonald/To Burrard Station,3
6612,13997982,2 Macdonald/To Burrard Station,3
6612,13997983,2 Macdonald/To Burrard Station,3
6612,13997984,2 Macdonald/To Burrard Station,3
6612,13997985,2 Macdonald/To Burrard Station,3
6612,13997986,2 Macdonald/To Burrard Station,3
6612,13997987,2 Macdonald/To Burrard Station,3
6612,13997988,2 Macdonald/To Burrard Station,3
6612,13997989,2 Macdonald/To Burrard Station,3
6612,13997990,2 Macdonald/To Burrard Station,3
6612,13997991,2 Macdonald/To Burrard Station,3
6612,13997992,2 Macdonald/To Burrard Station,3
6612,13997993,2 Macdonald/To Burrard Station,3
6612,13997994,2 Macdonald/To Burrard Station,3
6612,13997995,2 Macdonald/To Burrard Station,3
6612,13997996,2 Macdonald/To Burrard Station,3
6612,13997997,2 Macdonald/To Burrard Station,3
6612,13997998,2 Macdonald/To Burrard Station,3
6612,13997999,2 Macdonald/To Burrard Station,3
6612,13998000,2 Macdonald/To Burrard Station,3
6612,13998001,2 Macdonald/To Burrard Station,3
6612,13998002,2 Macdonald/To Burrard Station,3
6612,13998003,2 Macdonald/To Burrard Station,3
6612,13998004,2 Macdonald/To Burrard Station,3
6612,13998005,2 Macdonald/To Burrard Station,3
6612,13998006,2 Macdonald/To Burrard Station,3
6612,13998007,2 Macdonald/To Burrard Station,3
6612,13998008,2 Macdonald/To Burrard Station,3
6612,13998009,2 Macdonald/To Burrard Station,3
6612,13998010,2 Macdonald/To Burrard Station,3
6612,13998011,2 Macdonald/To Burrard Station,3
6612,13998012,2 Macdonald/To Burrard Station,3
6612,13998013,2 Macdonald/To Burrard Station,3
6612,13998014,2 Macdonald/To Burrard Station,3
6612,13998015,2 Macdonald/To Burrard Station,3
6612,13998016,2 Macdonald/To Burrard Station,3
6612,13998017,2 Macdonald/To Burrard Station,3
6612,13998018,2 Macdonald/To Burrard Station,3
6612,13998019,2 Macdonald/To Burrard Station,3
6612,13998020,2 Macdonald/To Burrard Station,3
6612,13998021,2 Macdonald/To Burrard Station,3
6612,13998022,2 Macdonald/To Burrard Station,3
6612,13998023,2 Macdonald/To Burrard Station,3
6612,13998024,2 Macdonald/To Burrard Station,3
6612,13998025,2 Macdonald/To Burrard Station,3
6612,13998026,2 Macdonald/To Burrard Station,3
6612,13998027,2 Macdonald/To Burrard Station,3
6612,13998028,2 Macdonald/To Burrard Station,3
6612,13998029,2 Macdonald/To Burrard Station,3
6612,13998030,2 Macdonald/To Burrard Station,3
6612,13998031,2 Macdonald/To Burrard Station,3
6612,13998032,2 Macdonald/To Burrard Station,3
6612,13998033,2 Macdonald/To Burrard Station,3
6612,13998034,2 Macdonald/To Burrard Station,3
6612,13998035,2 Macdonald/To Burrard Station,3
6612,13998036,2 Macdonald/To Burrard Station,3
6612,13998037,2 Macdonald/To Burrard Station,3
6612,13998038,2 Macdonald/To Burrard Station,3
6612,13998039,2 Macdonald/To Burrard Station,3
6612,13998040,2 Macdonald/To Burrard Station,3
6612,13998041,2 Macdonald/To Burrard Station,3
6612,13998042,2 Macdonald/To Burrard Station,3
6612,13998043,2 Macdonald/To Burrard Station,3
6612,13998044,2 Macdonald/To Burrard Station,3
6612,13998045,2 Macdonald/To Burrard Station,3
6612,13998046,2 Macdonald/To Burrard Station,3
6612,13998047,2 Macdonald/To Burrard Station,3
6612,13998048,2 Macdonald/To Burrard Station,3
6612,13998049,2 Macdonald/To Burrard Station,3
6612,13998050,2 Macdonald/To Burrard Station,3
6612,13998051,2 Macdonald/To Burrard Station,3
6612,13998052,2 Macdonald/To Dunbar Loop,3
6612,13998053,2 Macdonald/To Dunbar Loop,3
6612,13998054,2 Macdonald/To Dunbar Loop,3
6612,13998055,2 Macdonald/To Dunbar Loop,3
6612,13998056,2 Macdonald/To Dunbar Loop,3
6612,13998057,2 Macdonald/To Dunbar Loop,3
6612,13998058,2 Macdonald/To Dunbar Loop,3
6612,13998059,2 Macdonald/To Dunbar Loop,3
6612,13998060,2 Macdonald/To Dunbar Loop,3
6612,13998061,2 Macdonald/To 16th Avenue,3
6612,13998062,2 Macdonald/To Dunbar Loop,3
6612,13998063,2 Macdonald/To 16th Avenue,3
6612,13998064,2 Macdonald/To Dunbar Loop,3
6612,13998065,2 Macdonald/To 16th Avenue,3
6612,13998066,2 Macdonald/To Dunbar Loop,3
6612,13998067,2 Macdonald/To 16th Avenue,3
6612,13998068,2 Macdonald/To Dunbar Loop,3
6612,13998069,2 Macdonald/To 16th Avenue,3
6612,13998070,2 Macdonald/To Dunbar Loop,3
6612,13998071,2 Macdonald/To 16th Avenue,3
6612,13998072,2 Macdonald/To Dunbar Loop,3
6612,13998073,2 Macdonald/To 16th Avenue,3
6612,13998074,2 Macdonald/To Dunbar Loop,3
6612,13998075,2 Macdonald/To 16th Avenue,3
6612,13998076,2 Macdonald/To Dunbar Loop,3
6612,13998077,2 Macdonald/To 16th Avenue,3
6612,13998078,2 Macdonald/To Dunbar Loop,3
6612,13998079,2 Macdonald/To 16th Avenue,3
6612,13998080,2 Macdonald/To Dunbar Loop,3
6612,13998081,2 Macdonald/To 16th Avenue,3
6612,13998082,2 Macdonald/To Dunbar Loop,3
6612,13998083,2 Macdonald/To 16th Avenue,3
