trip_id,route_id,service_id,trip_headsign
13997915,6612,2,2 Macdonald/To Dunbar Loop
13997916,6612,2,2 Macdonald/To Dunbar Loop
13997917,6612,2,2 Macdonald/To Dunbar Loop
13997918,6612,2,2 Macdonald/To Dunbar Loop
13997919,6612,2,2 Macdonald/To Dunbar Loop
13997920,6612,2,2 Macdonald/To Dunbar Loop
13997921,6612,2,2 Macdonald/To Dunbar Loop
13997922,6612,2,2 Macdonald/To Dunbar Loop
13997923,6612,2,2 Macdonald/To Dunbar Loop
13997924,6612,2,2 Macdonald/To Dunbar Loop
13997925,6612,2,2 Macdonald/To Dunbar Loop
13997926,6612,2,2 Macdonald/To Dunbar Loop
13997927,6612,2,2 Macdonald/To Dunbar Loop
13997928,6612,2,2 Macdonald/To Dunbar Loop
13997929,6612,2,2 Macdonald/To Dunbar Loop
13997930,6612,2,2 Macdonald/To Dunbar Loop
13997931,6612,2,2 Macdonald/To Dunbar Loop
13997932,6612,2,2 Macdonald/To Dunbar Loop
13997933,6612,2,2 Macdonald/To Dunbar Loop
13997934,6612,2,2 Macdonald/To Dunbar Loop
13997935,6612,2,2 Macdonald/To Dunbar Loop
13997936,6612,2,2 Macdonald/To Dunbar Loop
13997937,6612,2,2 Macdonald/To Dunbar Loop
13997938,6612,2,2 Macdonald/To Dunbar Loop
13997939,6612,2,2 Macdonald/To Dunbar Loop
13997940,6612,2,2 Macdonald/To Dunbar Loop
13997941,6612,2,2 Macdonald/To 16th Avenue
13997942,6612,2,2 Macdonald/To 16th Avenue
13997943,6612,2,2 Macdonald/To 16th Avenue
13997944,6612,2,2 Macdonald/To 16th Avenue
13997945,6612,2,2 Macdonald/To 16th Avenue
13997946,6612,2,2 Macdonald/To 16th Avenue
13997947,6612,2,2 Macdonald/To 16th Avenue
13997948,6612,2,2 Macdonald/To 16th Avenue
13997949,6612,2,2 Macdonald/To 16th Avenue
13997950,6612,2,2 Macdonald/To 16th Avenue
13997951,6612,2,2 Macdonald/To Dunbar Loop
13997952,6612,2,2 Macdonald/To Dunbar Loop
13997959,6612,3,2 Macdonald/To Burrard Station
13997960,6612,3,2 Macdonald/To Burrard Station
13997961,6612,3,2 Macdonald/To Burrard Station
13997962,6612,3,2 Macdonald/To Burrard Station
13997963,6612,3,2 Macdonald/To Burrard Station
13997964,6612,3,2 Macdonald/To Burrard Station
13997965,6612,3,2 Macdonald/To Burrard Station
13997966,6612,3,2 Macdonald/To Burrard Station
13997967,6612,3,2 Macdonald/To Burrard Station
13997968,6612,3,2 Macdonald/To Burrard Station
13997969,6612,3,2 Macdonald/To Burrard Station
13997970,6612,3,2 Macdonald/To Burrard Station
13997971,6612,3,2 Macdonald/To Burrard Station
13997972,6612,3,2 Macdonald/To Burrard Station
13997973,6612,3,2 Macdonald/To Burrard Station
13997974,6612,3,2 Macdonald/To Burrard Station
13997975,6612,3,2 Macdonald/To Burrard Station
13997976,6612,3,2 Macdonald/To Burrard Station
13997977,6612,3,2 Macdonald/To Burrard Station
13997978,6612,3,2 Macdonald/To Burrard Station
13997979,6612,3,2 Macdonald/To Burrard Station
13997980,6612,3,2 Macdonald/To Burrard Station
13997981,6612,3,2 Macdonald/To Burrard Station
13997982,6612,3,2 Macdonald/To Burrard Station
13997983,6612,3,2 Macdonald/To Burrard Station
13997984,6612,3,2 Macdonald/To Burrard Station
13997985,6612,3,2 Macdonald/To Burrard Station
13997986,6612,3,2 Macdonald/To Burrard Station
13997987,6612,3,2 Macdonald/To Burrard Station
13997988,6612,3,2 Macdonald/To Burrard Station
13997989,6612,3,2 Macdonald/To Burrard Station
13997990,6612,3,2 Macdonald/To Burrard Station
13997991,6612,3,2 Macdonald/To Burrard Station
13997992,6612,3,2 Macdonald/To Burrard Station
13997993,6612,3,2 Macdonald/To Burrard Station
13997994,6612,3,2 Macdonald/To Burrard Station
13997995,6612,3,2 Macdonald/To Burrard Station
13997996,6612,3,2 Macdonald/To Burrard Station
13997997,6612,3,2 Macdonald/To Burrard Station
13997998,6612,3,2 Macdonald/To Burrard Station
13997999,6612,3,2 Macdonald/To Burrard Station
13998000,6612,3,2 Macdonald/To Burrard Station
13998001,6612,3,2 Macdonald/To Burrard Station
13998002,6612,3,2 Macdonald/To Burrard Station
13998003,6612,3,2 Macdonald/To Burrard Station
13998004,6612,3,2 Macdonald/To Burrard Station
13998005,6612,3,2 Macdonald/To Burrard Station
13998006,6612,3,2 Macdonald/To Burrard Station
13998007,6612,3,2 Macdonald/To Burrard Station
13998008,6612,3,2 Macdonald/To Burrard Station
13998009,6612,3,2 Macdonald/To Burrard Station
